manuscript_item,metric,context,displayed_value,full_precision_value,source_file,source_section,uncertainty_source,reproduction_script,reproduction_level,tolerance,draws,sampling_unit,strata,percentile
Figure 2,M,mlp; checkpoint=5000; layer=gelu1_post,graphical/supplemental value; full precision supplied,0.9550982616303163,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/5000/gelu1_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,mlp; checkpoint=5000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.9629034511607278,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/5000/gelu2_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,P,mlp; checkpoint=5000,graphical/supplemental value; full precision supplied,0.08887136670897193,frozen/figure2_longitudinal/05b_cohort_output_metrics_CI95.csv,mlp/5000,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,A,mlp; checkpoint=5000,graphical/supplemental value; full precision supplied,1.0081721324851836,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/A_by_checkpoint/0,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,mlp; checkpoint=10000; layer=gelu1_post,graphical/supplemental value; full precision supplied,0.976626566197645,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/10000/gelu1_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,mlp; checkpoint=10000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.9281746316355004,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/10000/gelu2_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,P,mlp; checkpoint=10000,graphical/supplemental value; full precision supplied,0.07336098512721455,frozen/figure2_longitudinal/05b_cohort_output_metrics_CI95.csv,mlp/10000,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,A,mlp; checkpoint=10000,graphical/supplemental value; full precision supplied,0.9503884737123369,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/A_by_checkpoint/1,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,mlp; checkpoint=20000; layer=gelu1_post,graphical/supplemental value; full precision supplied,0.9799021537413548,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/20000/gelu1_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,mlp; checkpoint=20000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.8505364817772223,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/20000/gelu2_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,P,mlp; checkpoint=20000,graphical/supplemental value; full precision supplied,0.06189797571082336,frozen/figure2_longitudinal/05b_cohort_output_metrics_CI95.csv,mlp/20000,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,A,mlp; checkpoint=20000,graphical/supplemental value; full precision supplied,0.867981031095602,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/A_by_checkpoint/2,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
