item,context,metric,full_precision_value,lower95,upper95,tolerance
Figure 2,mlp; checkpoint=5000; layer=gelu1_post,M,0.9550982616303163,0.9513773133926787,0.9587693607869027,1e-10
Figure 2,mlp; checkpoint=5000; layer=gelu2_post,M,0.9629034511607278,0.9413698917677695,0.9814580568703194,1e-10
Figure 2,mlp; checkpoint=5000,P,0.08887136670897193,0.08366190599994866,0.09372636386285021,1e-10
Figure 2,mlp; checkpoint=5000,A,1.0081721324851836,0.9866173759775363,1.0249994485720624,1e-10
Figure 2,mlp; checkpoint=10000; layer=gelu1_post,M,0.976626566197645,0.9725548786854178,0.9803260852411028,1e-10
Figure 2,mlp; checkpoint=10000; layer=gelu2_post,M,0.9281746316355004,0.8973620804109005,0.9512924313580449,1e-10
Figure 2,mlp; checkpoint=10000,P,0.07336098512721455,0.06933689246545861,0.07850328980361163,1e-10
Figure 2,mlp; checkpoint=10000,A,0.9503884737123369,0.9182474010569363,0.9739032337388677,1e-10
Figure 2,mlp; checkpoint=20000; layer=gelu1_post,M,0.9799021537413548,0.9766622650784872,0.9830625747047269,1e-10
Figure 2,mlp; checkpoint=20000; layer=gelu2_post,M,0.8505364817772223,0.8100848788350941,0.8821345416956077,1e-10
Figure 2,mlp; checkpoint=20000,P,0.06189797571082336,0.05717432113596359,0.06725099522940126,1e-10
Figure 2,mlp; checkpoint=20000,A,0.867981031095602,0.8263123163298407,0.902055399467277,1e-10
Figure 2,mlp; checkpoint=50000; layer=gelu1_post,M,0.9828188469938691,0.9799700053409546,0.9855856658256628,1e-10
Figure 2,mlp; checkpoint=50000; layer=gelu2_post,M,0.5913844663413321,0.523256210793844,0.6773410161658874,1e-10
Figure 2,mlp; checkpoint=50000,P,0.05061155262487953,0.04760257911727919,0.053896952551369406,1e-10
Figure 2,mlp; checkpoint=50000,A,0.6017227570983091,0.5323891007997991,0.6904103095430317,1e-10
Figure 2,mlp; checkpoint=100000; layer=gelu1_post,M,0.9924965449721439,0.9896355311547375,0.9951777092911082,1e-10
Figure 2,mlp; checkpoint=100000; layer=gelu2_post,M,0.4072377349199126,0.3820426478300477,0.4335924372787653,1e-10
Figure 2,mlp; checkpoint=100000,P,0.045202595614559624,0.04200133323982701,0.04823708036173418,1e-10
Figure 2,mlp; checkpoint=100000,A,0.4103165265238706,0.3848151332091639,0.43715559374534346,1e-10
Figure 2,mlp; checkpoint=200000; layer=gelu1_post,M,1.001372576171533,0.9986339313984556,1.004030301046271,1e-10
Figure 2,mlp; checkpoint=200000; layer=gelu2_post,M,0.29939539767817563,0.28240559652204283,0.3160505968950955,1e-10
Figure 2,mlp; checkpoint=200000,P,0.03546266988886955,0.03280891273337229,0.03820765694992993,1e-10
Figure 2,mlp; checkpoint=200000,A,0.29898501796686894,0.2817740612362635,0.3158434148251783,1e-10
Figure 2,mlp; seed=701; checkpoint=200000,seed_A200k,0.2731417328463971,,,1e-10
Figure 2,mlp; seed=702; checkpoint=200000,seed_A200k,0.31989822533237783,,,1e-10
Figure 2,mlp; seed=703; checkpoint=200000,seed_A200k,0.28307706502003277,,,1e-10
Figure 2,mlp; seed=704; checkpoint=200000,seed_A200k,0.29734913373631594,,,1e-10
Figure 2,mlp; seed=705; checkpoint=200000,seed_A200k,0.3215575494066825,,,1e-10
Figure 2,mlp; checkpoint=200000/5000,T_A,0.2965614782763924,0.27607042752832983,0.3177749668553984,1e-10
Figure 2,mlp; checkpoint=200000/5000,R_P,0.39903369557710927,0.36715885590318725,0.43338770909214547,1e-10
Figure 2,transformer; checkpoint=5000; layer=projected_query,M,0.8096277168883315,0.803434183823311,0.8159890452895379,1e-10
Figure 2,transformer; checkpoint=5000; layer=block1_return,M,0.5542387202105029,0.5400790874821128,0.5672381191715216,1e-10
Figure 2,transformer; checkpoint=5000; layer=block2_return,M,0.4381027928160436,0.4113372199238146,0.46490082809305183,1e-10
Figure 2,transformer; checkpoint=5000; layer=final_layernorm,M,0.44944177719229705,0.4288267336858238,0.47033976169282254,1e-10
Figure 2,transformer; checkpoint=5000,P,0.0885752991146652,0.08159145343966888,0.09651707073726665,1e-10
Figure 2,transformer; checkpoint=5000,A,0.810917319204253,0.7725428404152869,0.8497013077105269,1e-10
Figure 2,transformer; checkpoint=10000; layer=projected_query,M,0.8237683837679409,0.8186671858818603,0.8289299307076574,1e-10
Figure 2,transformer; checkpoint=10000; layer=block1_return,M,0.5387753866863167,0.5284681464449466,0.5510764773758488,1e-10
Figure 2,transformer; checkpoint=10000; layer=block2_return,M,0.41334991612797956,0.379067942695305,0.4482752056979044,1e-10
Figure 2,transformer; checkpoint=10000; layer=final_layernorm,M,0.42113894342041236,0.3961028274016819,0.4513652942529982,1e-10
Figure 2,transformer; checkpoint=10000,P,0.07996818916703734,0.07497953957678039,0.08506758346339342,1e-10
Figure 2,transformer; checkpoint=10000,A,0.7816595817611206,0.7386150067651053,0.8254121530189431,1e-10
Figure 2,transformer; checkpoint=20000; layer=projected_query,M,0.8329513290256818,0.8269172171599926,0.8381876410761171,1e-10
Figure 2,transformer; checkpoint=20000; layer=block1_return,M,0.5344424581488124,0.520312908399358,0.548114069416212,1e-10
Figure 2,transformer; checkpoint=20000; layer=block2_return,M,0.3940293270757041,0.365329754551988,0.4214702922285147,1e-10
Figure 2,transformer; checkpoint=20000; layer=final_layernorm,M,0.3956137957716293,0.37519155530939896,0.4144539840847949,1e-10
Figure 2,transformer; checkpoint=20000,P,0.07467907991380099,0.0709840220448845,0.07839643614461358,1e-10
Figure 2,transformer; checkpoint=20000,A,0.740236464636335,0.6900089636442608,0.7784970944388079,1e-10
Figure 2,transformer; checkpoint=50000; layer=projected_query,M,0.8359790835906249,0.82569544796206,0.8444916033864889,1e-10
Figure 2,transformer; checkpoint=50000; layer=block1_return,M,0.5449528594926378,0.516332165509495,0.5764647459638973,1e-10
Figure 2,transformer; checkpoint=50000; layer=block2_return,M,0.3720016856356426,0.345307532569608,0.4005079773846402,1e-10
Figure 2,transformer; checkpoint=50000; layer=final_layernorm,M,0.32815991208051043,0.2924755670166011,0.3647326505998505,1e-10
Figure 2,transformer; checkpoint=50000,P,0.05707779996943604,0.050758829119721446,0.06354172306268668,1e-10
Figure 2,transformer; checkpoint=50000,A,0.6021803654467177,0.5479342795814797,0.6574211421270553,1e-10
Figure 2,transformer; checkpoint=100000; layer=projected_query,M,0.8327368818351534,0.8206730716046219,0.8417116902951595,1e-10
Figure 2,transformer; checkpoint=100000; layer=block1_return,M,0.5677804056646772,0.5299796879482611,0.6081200715789234,1e-10
Figure 2,transformer; checkpoint=100000; layer=block2_return,M,0.3661719251863652,0.3360561319317814,0.3986786998951533,1e-10
Figure 2,transformer; checkpoint=100000; layer=final_layernorm,M,0.27678092896290646,0.25351373215433076,0.30825461416216643,1e-10
Figure 2,transformer; checkpoint=100000,P,0.04695124030809651,0.04030407341207207,0.05297404724317102,1e-10
Figure 2,transformer; checkpoint=100000,A,0.48747883195949737,0.4565244742329007,0.5186156876595837,1e-10
Figure 2,transformer; checkpoint=200000; layer=projected_query,M,0.8292531405479115,0.8196936096075386,0.8365117471674708,1e-10
Figure 2,transformer; checkpoint=200000; layer=block1_return,M,0.6024907242568712,0.5747982405196145,0.6355321852929827,1e-10
Figure 2,transformer; checkpoint=200000; layer=block2_return,M,0.37382408093793024,0.3480570312512031,0.39759749609817596,1e-10
Figure 2,transformer; checkpoint=200000; layer=final_layernorm,M,0.24839667514287694,0.2157148409718046,0.27567733973895175,1e-10
Figure 2,transformer; checkpoint=200000,P,0.03560615179738937,0.028246776592428358,0.04348229772896872,1e-10
Figure 2,transformer; checkpoint=200000,A,0.4122829865127904,0.3638810465232056,0.45025646962881993,1e-10
Figure 2,transformer; seed=801; checkpoint=200000,seed_A200k,0.3968545791125601,,,1e-10
Figure 2,transformer; seed=802; checkpoint=200000,seed_A200k,0.4506635213682417,,,1e-10
Figure 2,transformer; seed=803; checkpoint=200000,seed_A200k,0.45439701527580756,,,1e-10
Figure 2,transformer; seed=804; checkpoint=200000,seed_A200k,0.31936608269712363,,,1e-10
Figure 2,transformer; seed=805; checkpoint=200000,seed_A200k,0.43833677827425743,,,1e-10
Figure 2,transformer; checkpoint=200000/5000,T_A,0.5084155643849863,0.4674197001234342,0.5367292201100916,1e-10
Figure 2,transformer; checkpoint=200000/5000,R_P,0.4019873729276986,0.3333560078319465,0.4628633784676814,1e-10
Figure 3,cohort at 200000 updates,BETA_POS,0.9491112561300863,0.9189541606636084,0.982943833764923,1e-10
Figure 3,cohort at 200000 updates,N0_ABS,0.04894466337261836,0.04485203934988879,0.05299295020765494,1e-10
Figure 3,cohort at 200000 updates,K,0.0019167165628474747,0.0017009489031990293,0.0021375103902098805,1e-10
Figure 3,cohort at 400000 updates,BETA_POS,0.9644852582319728,0.9392739990376571,0.99030589841057,1e-10
Figure 3,cohort at 400000 updates,N0_ABS,0.04201035369107161,0.039547685119318894,0.044438869796167645,1e-10
Figure 3,cohort at 400000 updates,K,0.0014127586164957098,0.0013171616020186032,0.0015110466841568547,1e-10
Figure 3,cohort at 800000 updates,BETA_POS,0.9672263642195337,0.9419509130983843,0.9921334201056161,1e-10
Figure 3,cohort at 800000 updates,N0_ABS,0.038118945511110454,0.034414977622086125,0.04176250187490755,1e-10
Figure 3,cohort at 800000 updates,K,0.0010615002295340677,0.0009687795754526388,0.0011679935036840654,1e-10
Figure 3,paired 200000 to 400000 updates,R_N_200_400,0.8583234779090118,0.782582463249033,0.945246291429337,1e-10
Figure 3,paired 400000 to 800000 updates,R_N_400_800,0.907370259041923,0.836427630041614,0.9779602410910558,1e-10
Figure 3,paired 200000 to 800000 updates,R_N_200_800,0.7788171964920643,0.6920794002749789,0.8709692856642776,1e-10
Figure 3,paired 200000 to 400000 updates,Delta_N_200_400,-0.006934309681546749,-0.011347008986647264,-0.0024851870646540506,1e-10
Figure 3,paired 400000 to 800000 updates,Delta_N_400_800,-0.003891408179961156,-0.006897504064795857,-0.0009221600403692467,1e-10
