manuscript_item,metric,context,displayed_value,full_precision_value
Figure 2,M,mlp; checkpoint=5000; layer=gelu1_post,graphical/supplemental value; full precision supplied,0.9550982616303163
Figure 2,M,mlp; checkpoint=5000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.9629034511607278
Figure 2,P,mlp; checkpoint=5000,graphical/supplemental value; full precision supplied,0.08887136670897193
Figure 2,A,mlp; checkpoint=5000,graphical/supplemental value; full precision supplied,1.0081721324851836
Figure 2,M,mlp; checkpoint=10000; layer=gelu1_post,graphical/supplemental value; full precision supplied,0.976626566197645
Figure 2,M,mlp; checkpoint=10000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.9281746316355004
Figure 2,P,mlp; checkpoint=10000,graphical/supplemental value; full precision supplied,0.07336098512721455
Figure 2,A,mlp; checkpoint=10000,graphical/supplemental value; full precision supplied,0.9503884737123369
Figure 2,M,mlp; checkpoint=20000; layer=gelu1_post,graphical/supplemental value; full precision supplied,0.9799021537413548
Figure 2,M,mlp; checkpoint=20000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.8505364817772223
Figure 2,P,mlp; checkpoint=20000,graphical/supplemental value; full precision supplied,0.06189797571082336
Figure 2,A,mlp; checkpoint=20000,graphical/supplemental value; full precision supplied,0.867981031095602
Figure 2,M,mlp; checkpoint=50000; layer=gelu1_post,graphical/supplemental value; full precision supplied,0.9828188469938691
Figure 2,M,mlp; checkpoint=50000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.5913844663413321
Figure 2,P,mlp; checkpoint=50000,graphical/supplemental value; full precision supplied,0.05061155262487953
Figure 2,A,mlp; checkpoint=50000,graphical/supplemental value; full precision supplied,0.6017227570983091
Figure 2,M,mlp; checkpoint=100000; layer=gelu1_post,graphical/supplemental value; full precision supplied,0.9924965449721439
Figure 2,M,mlp; checkpoint=100000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.4072377349199126
Figure 2,P,mlp; checkpoint=100000,graphical/supplemental value; full precision supplied,0.045202595614559624
Figure 2,A,mlp; checkpoint=100000,graphical/supplemental value; full precision supplied,0.4103165265238706
Figure 2,M,mlp; checkpoint=200000; layer=gelu1_post,graphical/supplemental value; full precision supplied,1.001372576171533
Figure 2,M,mlp; checkpoint=200000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.29939539767817563
Figure 2,P,mlp; checkpoint=200000,graphical/supplemental value; full precision supplied,0.03546266988886955
Figure 2,A,mlp; checkpoint=200000,"0.2990 [0.2818, 0.3158]",0.29898501796686894
Figure 2,seed_A200k,mlp; seed=701; checkpoint=200000,graphical/supplemental value; full precision supplied,0.2731417328463971
